points,time
1997,629
3565,629
2658,708
2327,835
1517,573
2228,634
2870,537
2029,666
2376,666
2903,940
1891,834
3940,1540
5747,1069
6602,1071
1649,644
2813,1212
2871,1070
2624,973
2707,1045
2408,571
1673,571
1388,571
2742,496
2590,496
1459,496
1356,496
1269,496
1812,443
2085,443
2492,443
2112,437
1246,437
1850,437
1311,437
1312,437
4155,1609
3887,1609
3885,1609
5412,1818
2125,625
1826,625
1660,625
3094,734
4842,734
4707,734
1991,822
3080,822
2778,947
3331,1160
5089,825
3177,825
1539,648
1670,652
2263,1030
3100,931
1345,490
1502,490
1233,490
1335,490
1236,490
2298,490
1888,490
1858,490
2424,490
2233,490
2184,988
2481,839
3609,510
1275,510
1393,510
2373,801
1843,810
2655,778
3932,985
3260,735
4088,763
3916,763
3254,1221
3027,831
1844,811
2176,976
1978,760
1597,658
2278,435
1347,435
1611,435
1255,435
1944,435
1765,435
2098,435
1958,435
2029,435
2319,556
3372,556
3800,791
3243,622
2441,622
3713,1079
4735,1036
2630,666
5751,887
1700,551
3051,551
1631,531
1755,531
1601,531
1808,531
3170,531
3420,531
3722,531
2228,531
1951,554
6166,1778
3698,1281
3580,1226
3342,843
1778,719
2470,719
1976,555
2139,545
1340,545
1727,545
2616,1215
2057,545
1572,545
2853,1170
2577,965
4119,989
2810,988
2316,937
5672,1212
4273,938
5747,1257
3256,801
1637,677
1872,688
3338,706
1392,556
2514,954
2231,628
3818,628
2779,628
3688,628
5659,869
4304,869
2929,843
2482,1080
1944,838
1897,838
5328,838
1793,650
1613,690
2153,796
2903,540
1900,553
1718,702
3482,786
1838,806
2324,806
1340,546
1903,546
1343,546
2371,546
2700,546
2620,546
2816,546
1619,626
2553,908
2336,1071
4265,868
3692,1157
2078,851
2009,851
1308,516
1666,516
2460,516
3414,516
2742,516
1758,733
1294,494
2342,1072
2542,1112
4788,870
1958,455
2029,455
1440,455
2203,661
2403,744
1392,558
5797,993
2931,944
1620,629
3357,857
2058,592
3280,592
6476,1239
1956,669
1477,541
2440,818
5828,1029
5567,948
3940,948
3266,1221
2740,1216
2120,659
2323,659
2201,690
1739,690
2428,496
1593,496
1340,496
3172,939
2289,789
4034,1395
4018,1361
3646,872
1908,713
2220,630
1846,638
3614,743
4091,743
1601,610
1588,610
1588,610
4829,849
1504,633
1506,633
1845,550
1352,550
1463,550
2762,550
2477,550
3096,550
2823,1260
2044,376
1978,376
1019,376
1166,376
1827,376
3321,860
1964,797
2952,797
4115,797
1557,637
1428,590
3704,1591
2136,964
3576,1399
6392,1003
4184,1817
3519,1493
3827,922
6554,1229
1672,536
1665,536
1350,536
1930,536
3634,874
2266,971
2359,990
3848,1369
2055,583
1651,583
1342,479
1354,479
1410,479
2135,479
1927,479
2254,479
2215,865
3011,736
3361,513
1831,513
1299,513
2203,703
1328,511
1563,511
3112,987
2091,787
4326,944
5791,944
1570,623
1488,623
1709,623
3199,873
4510,879
2919,1068
5738,1228
2754,814
4383,814
3463,814
1587,651
3321,521
1921,521
1574,515
2886,515
5345,1070
1462,505
1634,505
3303,1222
2722,713
1795,713
2757,713
2179,885
3368,1050
2733,1212
1562,661
6301,2380
1382,566
2985,782
3914,791
4070,791
1741,668
4239,1796
3172,1442
2587,1200
2548,921
2178,544
2349,544
2618,695
2526,865
3133,618
2564,618
5308,1143
3674,1063
5648,1777
1441,531
3603,755
1966,755
2710,1053
1465,581
1520,581
2437,769
2226,631
1504,631
3666,1215
3141,616
2381,616
3092,616
1321,507
2673,1177
2688,758
3290,1504
2235,913
2491,725
2405,815
1854,815
2742,1167
1591,655
5318,1610
4135,1593
1791,509
1438,497
2357,497
1580,497
2393,695
2706,523
1349,523
1323,523
3845,1211
4462,1538
2441,976
2666,703
2705,703
2041,703
2386,600
1447,600
1488,600
4973,2062
2428,892
2049,917
1802,570
1461,570
3497,570
1568,613
1844,491
1363,491
2587,491
1462,491
1361,491
2211,491
2191,491
2268,491
2116,491
2346,491
1816,795
2379,1092
4352,785
2897,785
1916,847
1168,454
1168,454
1325,454
1170,454
2909,592
2888,592
3428,592
2506,777
1851,740
2191,806
1936,699
2555,581
3374,581
2180,920
3844,1215
2071,820
3326,650
1864,754
1594,679
1931,720
5423,924
4644,924
1775,715
4203,990
5587,990
5373,1575
1150,439
1689,439
3351,651
3141,651
3073,1191
3218,754
2112,644
2412,940
2010,619
3104,851
5088,1265
3143,581
1441,581
1965,581
3429,1223
4411,1079
3767,1247
2108,782
4957,894
1526,642
1523,642
2057,642
1867,559
1397,559
1615,559
1604,559
3678,559
3223,559
4172,1000
4394,1903
4776,1912
5251,697
4203,697
1795,697
1629,697
1836,697
1784,780
1451,517
1344,517
4205,708
3362,543
2808,633
2241,909
1147,437
1149,437
1148,437
1146,437
1209,437
2302,437
2300,437
2178,437
2428,437
2267,437
1600,532
1717,532
2585,532
4420,753
3647,753
2866,1237
1291,519
1576,604
2919,809
3042,1440
2753,1110
3972,862
4339,1071
1890,833
2858,833
2702,1250
2129,608
4297,908
1317,533
1695,533
3614,782
3664,769
2625,617
1901,840
2340,958
3460,893
2265,613
3657,613
2014,833
3249,1184
2784,906
1658,646
2185,646
2736,646
2993,1240
1563,661
1803,710
3448,692
2375,629
1742,629
6693,2491
2184,598
2793,598
3553,1378
7983,2478
3613,1203
1071,404
1187,404
1071,404
3488,954
2323,924
7273,1269
2412,572
3025,1225
3000,1170
2178,614
5820,1245
11619,1726
3448,957
3610,824
1793,783
1686,661
1836,763
3019,1129
2644,791
2239,700
2128,895
2285,895
2381,870
3646,1375
1846,745
2992,822
3031,1088
2913,737
3984,1051
2835,1240
2303,1051
4945,937
2531,1172
1915,569
1786,569
6642,1216
4497,932
1703,590
4633,1572
3890,1362
1817,705
2235,761
2458,761
3234,688
2110,688
2375,1089
3130,814
1934,430
1121,430
1122,430
1124,430
3005,1194
2966,767
1556,621
2727,463
1409,463
1481,463
3381,1229
3242,1265
4116,714
2494,714
2104,714
1970,592
1610,665
1919,665
3044,781
1533,513
1859,513
1523,642
3307,642
3373,1214
2446,583
4152,828
2792,828
4215,828
2632,828
3516,1181
4847,939
3224,849
3101,849
6292,1474
1729,505
1453,505
2899,505
2587,505
2693,505
2416,628
3060,628
3117,628
2844,986
2031,844
3296,1383
1503,503
1398,503
1280,503
1548,523
2220,494
3662,646
1900,595
2622,918
2215,889
2075,933
1675,721
2614,721
3029,1176
2173,918
1982,883
2438,799
1575,541
2506,1006
3017,1249
3280,1388
4050,857
3509,857
3948,857
4258,721
2688,1228
2126,739
3118,739
2724,571
1771,571
1390,571
3032,994
3067,789
6045,1214
2069,733
4829,809
1237,482
1489,482
2331,482
1799,558
1962,815
2190,677
3740,586
2902,1094
3227,1405
3621,710
2425,780
2964,852
3861,855
2653,855
5666,855
4510,1065
1371,454
1181,454
4760,1696
1515,636
3535,863
3828,924
2025,692
1422,513
2457,513
2079,664
4524,1328
1415,568
2823,760
1787,699
2240,699
4249,1034
2941,928
1894,771
4103,771
2260,1029
1695,731
2989,820
2684,653
1544,653
7299,1090
3452,1211
6033,905
2497,905
2480,905
2528,905
2555,829
4141,1228
4770,2154
3410,1306
6588,1224
2150,862
2231,675
2011,675
3332,639
2737,639
2212,1005
4661,765
2881,765
2200,765
7345,1458
1494,530
1519,530
1512,635
3802,714
2679,714
4148,886
1927,738
2480,1145
2658,1238
2405,1105
2404,1105
1573,601
3878,1604
4139,821
1705,599
2551,550
1987,550
1852,550
1349,550
2624,830
3818,1850
5520,1018
3221,1470
3552,593
2955,593
2532,1172
3249,1176
2203,647
1679,625
1844,625
1968,625
2862,625
4753,625
3595,625
2740,625
3582,625
2021,838
5852,838
1277,511
1276,511
3007,1281
2719,745
3186,757
2779,757
2425,670
2471,697
5029,1794
1842,633
1593,678
2717,528
1640,528
1771,528
1360,528
2780,647
1778,706
2139,651
2353,664
2558,683
3870,1218
2095,913
2223,606
2170,606
1937,859
1944,787
2999,610
3977,610
1934,610
2436,610
1666,610
1639,662
4543,747
3561,735
1791,735
3578,1283
3186,1380
2537,774
4170,711
3413,711
1724,556
3496,1385
1569,665
2391,583
4779,2131
1961,727
4061,1571
3027,964
2377,823
2917,916
2778,525
1883,696
1724,747
2277,626
1741,626
3445,755
4917,1002
4719,2192
5970,2397
2063,925
2682,976
4886,1668
4381,1947
2203,972
2770,1299
3619,1600
2277,704
3941,704
3509,704
1900,841
3221,1228
1831,667
3088,1464
3536,964
3390,1492
3311,1476
4021,1462
4161,1832
4889,1011
4490,1454
5981,2555
2452,612
3238,1102
3042,1084
1843,718
2418,906
3284,991
1910,794
1931,500
5100,957
3035,1256
3306,1448
3154,834
2694,904
2433,550
1350,550
3833,1582
2533,1108
2067,786
1801,786
2383,635
2260,884
1773,671
1644,650
2113,885
2943,1078
2741,956
3062,749
2340,749
4141,844
6225,1212
2773,721
3440,721
1962,592
2132,592
1296,491
1341,491
998,365
1055,365
1001,365
1001,365
2730,699
2637,687
2295,888
1856,696
2664,976
2579,441
1186,441
2077,480
2530,589
4317,773
2645,563
2311,563
1676,563
1374,563
3215,1032
2515,748
4232,1456
1513,616
1833,713
4977,1504
1157,442
1271,442
1160,442
1243,442
2612,442
2498,442
2092,442
2084,442
1610,687
6407,1035
2668,547
1712,547
2424,547
5377,878
3541,878
2543,878
2745,1220
3596,1194
2541,1039
1890,631
4038,1220
2748,1179
1844,744
2377,811
3580,811
4571,752
2784,752
2300,649
2109,866
2558,1087
1359,554
1358,554
1572,554
1377,554
3401,554
2587,554
2679,554
1973,877
2295,617
1905,617
3239,978
1541,630
3129,1185
4419,641
3043,641
2164,641
1561,641
3248,844
2387,1015
4919,2297
3026,766
4966,1731
5076,2236
2863,913
3926,1629
2030,843
2563,916
2767,593
4535,1053
3476,1240
3017,1086
3636,1550
2097,650
